KJV,Gen,THE FIRST BOOK OF MOSES CALLED GENESIS
KJV,Exod,THE SECOND BOOK OF MOSES CALLED EXODUS
KJV,Lev,THE THIRD BOOK OF MOSES CALLED LEVITICUS
KJV,Num,THE FOURTH BOOK OF MOSES CALLED NUMBERS
KJV,Deut,THE FIFTH BOOK OF MOSES CALLED DEUTERONOMY
KJV,Josh,THE BOOK OF JOSHUA
KJV,Judg,THE BOOK OF JUDGES
KJV,Ruth,THE BOOK OF RUTH
KJV,1Sam,THE FIRST BOOK OF SAMUEL OTHERWISE CALLED THE FIRST BOOK OF THE KINGS
KJV,2Sam,THE SECOND BOOK OF SAMUEL OTHERWISE CALLED THE SECOND BOOK OF THE KINGS
KJV,1Kgs,THE FIRST BOOK OF THE KINGS COMMONLY CALLED THE THIRD BOOK OF THE KINGS
KJV,2Kgs,THE SECOND BOOK OF THE KINGS COMMONLY CALLED THE FOURTH BOOK OF THE KINGS
KJV,1Chr,THE FIRST BOOK OF THE CHRONICLES
KJV,2Chr,THE SECOND BOOK OF THE CHRONICLES
KJV,Ezra,EZRA
KJV,Neh,THE BOOK OF NEHEMIAH
KJV,Esth,THE BOOK OF ESTHER
KJV,Job,THE BOOK OF JOB
KJV,Ps,THE BOOK OF PSALMS
KJV,Prov,THE PROVERBS
KJV,Eccl,"ECCLESIASTES OR, THE PREACHER"
KJV,Song,THE SONG OF SOLOMON
KJV,Isa,THE BOOK OF THE PROPHET ISAIAH
KJV,Jer,THE BOOK OF THE PROPHET JEREMIAH
KJV,Lam,THE LAMENTATIONS OF JEREMIAH
KJV,Ezek,THE BOOK OF THE PROPHET EZEKIEL
KJV,Dan,THE BOOK OF DANIEL
KJV,Hos,HOSEA
KJV,Joel,JOEL
KJV,Amos,AMOS
KJV,Obad,OBADIAH
KJV,Jonah,JONAH
KJV,Mic,MICAH
KJV,Nah,NAHUM
KJV,Hab,HABAKKUK
KJV,Zeph,ZEPHANIAH
KJV,Hag,HAGGAI
KJV,Zech,ZECHARIAH
KJV,Mal,MALACHI
KJV,Matt,THE GOSPEL ACCORDING TO ST. MATTHEW
KJV,Mark,THE GOSPEL ACCORDING TO ST. MARK
KJV,Luke,THE GOSPEL ACCORDING TO ST. LUKE
KJV,John,THE GOSPEL ACCORDING TO ST. JOHN
KJV,Acts,THE ACTS OF THE APOSTLES
KJV,Rom,THE EPISTLE OF PAUL THE APOSTLE TO THE ROMANS
KJV,1Cor,THE FIRST EPISTLE OF PAUL THE APOSTLE TO THE CORINTHIANS
KJV,2Cor,THE SECOND EPISTLE OF PAUL THE APOSTLE TO THE CORINTHIANS
KJV,Gal,THE EPISTLE OF PAUL THE APOSTLE TO THE GALATIANS
KJV,Eph,THE EPISTLE OF PAUL THE APOSTLE TO THE EPHESIANS
KJV,Phil,THE EPISTLE OF PAUL THE APOSTLE TO THE PHILIPPIANS
KJV,Col,THE EPISTLE OF PAUL THE APOSTLE TO THE COLOSSIANS
KJV,1Thess,THE FIRST EPISTLE OF PAUL THE APOSTLE TO THE THESSALONIANS
KJV,2Thess,THE SECOND EPISTLE OF PAUL THE APOSTLE TO THE THESSALONIANS
KJV,1Tim,THE FIRST EPISTLE OF PAUL THE APOSTLE TO TIMOTHY
KJV,2Tim,THE SECOND EPISTLE OF PAUL THE APOSTLE TO TIMOTHY
KJV,Titus,THE EPISTLE OF PAUL THE APOSTLE TO TITUS
KJV,Phlm,THE EPISTLE OF PAUL THE APOSTLE TO PHILEMON
KJV,Heb,THE EPISTLE OF PAUL THE APOSTLE TO THE HEBREWS
KJV,Jas,THE GENERAL EPISTLE OF JAMES
KJV,1Pet,THE FIRST EPISTLE GENERAL OF PETER
KJV,2Pet,THE SECOND EPISTLE GENERAL OF PETER
KJV,1John,THE FIRST EPISTLE GENERAL OF JOHN
KJV,2John,THE SECOND EPISTLE OF JOHN
KJV,3John,THE THIRD EPISTLE OF JOHN
KJV,Jude,THE GENERAL EPISTLE OF JUDE
KJV,Rev,THE REVELATION OF ST. JOHN THE DIVINE
